"","Stimuli1","TargetAccuracy"
"1",42,0.00757575757575758
"2",51,0.0303030303030303
"3",57,0.0303030303030303
"4",19,0.0378787878787879
"5",36,0.0454545454545455
"6",59,0.0454545454545455
"7",28,0.053030303030303
"8",62,0.0606060606060606
"9",13,0.0681818181818182
"10",26,0.0833333333333333
"11",37,0.0833333333333333
"12",40,0.113636363636364
"13",6,0.121212121212121
"14",56,0.121212121212121
"15",44,0.128787878787879
"16",3,0.143939393939394
"17",49,0.159090909090909
"18",53,0.159090909090909
"19",55,0.159090909090909
"20",25,0.181818181818182
"21",60,0.181818181818182
"22",69,0.196969696969697
"23",4,0.204545454545455
"24",5,0.204545454545455
"25",24,0.204545454545455
"26",15,0.212121212121212
"27",29,0.212121212121212
"28",20,0.21969696969697
"29",34,0.21969696969697
"30",46,0.234848484848485
"31",33,0.242424242424242
