"","PrimeMaskNo","PrimeNo","TargetMaskNo","TargetNo","PrimeMaskRT","PrimeNoRT","TargetMaskRT","TargetNoRT","RTrecognisePrime","RTrecogniseTarget"
"1",6,99,11,6,337,NA,138,5,2917,2585
"2",6,7,11,9,240,84,272,82,2820,4210
"3",6,99,8,99,417,NA,139,NA,2997,3751
"4",7,99,4,99,18,NA,285,NA,3114,1833
"5",5,99,4,99,31,NA,376,NA,2095,1924
"6",5,8,10,99,89,50,161,NA,2153,4805
"7",11,7,6,99,248,84,153,NA,3180,2733
"8",11,99,5,99,128,NA,243,NA,5288,2307
"9",5,99,3,99,206,NA,290,NA,2270,1322
"10",8,99,8,3,341,NA,139,36,3953,1068
"11",8,6,4,99,161,26,336,NA,2606,1884
"12",4,99,5,6,243,NA,240,5,1791,2304
"13",4,9,6,99,111,82,298,NA,1659,2878
"14",4,99,7,99,373,NA,324,NA,1921,3420
"15",99,8,4,6,NA,50,337,5,3662,1885
"16",6,99,7,99,97,NA,150,NA,2677,3246
"17",6,99,3,99,21,NA,395,NA,2601,1427
"18",5,99,4,99,167,NA,309,NA,2231,1857
"19",6,99,7,99,220,NA,323,NA,2800,3419
"20",6,99,4,99,46,NA,221,NA,2626,1769
"21",5,7,5,9,281,84,278,82,2345,2342
"22",5,7,2,9,338,84,465,82,2402,981
"23",5,7,3,9,218,84,303,82,2282,1335
"24",6,9,4,99,326,82,283,NA,2906,1831
"25",5,99,8,6,147,NA,322,18,2211,2598
"26",4,99,6,99,337,NA,216,NA,1885,2796
"27",6,99,8,99,396,NA,220,NA,2976,3832
"28",5,99,9,99,149,NA,160,NA,2213,4288
"29",11,99,4,99,248,NA,327,NA,5408,1875
"30",4,99,3,99,281,NA,290,NA,1829,1322
"31",6,4,3,99,417,60,444,NA,1608,1476
"32",5,99,3,4,275,NA,381,62,2339,1413
"33",4,99,8,99,367,NA,322,NA,1915,3934
"34",5,7,4,9,427,84,276,82,2491,1824
"35",4,99,9,99,430,NA,315,NA,1978,4443
"36",7,99,11,99,124,NA,138,NA,3220,5298
"37",7,8,6,99,341,50,67,NA,3437,2647
"38",6,9,3,99,92,82,350,NA,2672,1382
"39",4,99,3,99,160,NA,44,NA,1708,1076
"40",4,99,6,99,311,NA,221,NA,1859,2801
"41",7,99,3,99,304,NA,279,NA,3400,1311
"42",6,99,6,99,280,NA,184,NA,2860,2764
"43",4,9,3,99,241,82,66,NA,1789,1098
"44",6,7,3,9,183,84,367,82,2763,1399
"45",4,99,3,99,269,NA,296,NA,1817,1328
"46",4,7,5,9,301,84,219,82,1849,2283
"47",5,7,3,9,296,84,246,82,2360,1278
"48",6,99,5,99,266,NA,9,NA,2846,2073
"49",4,9,4,99,356,82,306,NA,1904,1854
"50",5,99,8,4,7,NA,139,62,2071,1610
"51",7,99,6,99,299,NA,213,NA,3395,2793
"52",8,99,5,99,161,NA,295,NA,3773,2359
"53",12,99,7,99,84,NA,138,NA,5760,3234
"54",7,5,3,99,18,3,366,NA,2067,1398
"55",4,99,5,99,254,NA,293,NA,1802,2357
"56",6,99,11,99,198,NA,272,NA,2778,5432
"57",7,99,6,99,160,NA,135,NA,3256,2715
"58",6,99,4,99,306,NA,276,NA,2886,1824
"59",5,3,7,99,429,43,314,NA,1075,3410
"60",11,9,5,99,248,82,237,NA,4210,2301
"61",5,99,7,3,219,NA,150,22,2283,1054
"62",5,99,4,99,425,NA,214,NA,2489,1762
"63",7,99,4,6,100,NA,372,18,3196,1920
"64",5,9,3,99,176,82,355,NA,2240,1387
"65",5,99,7,4,429,NA,326,18,2493,1566
"66",4,99,6,99,341,NA,272,NA,1889,2852
"67",7,5,11,99,100,5,314,NA,2069,5474
"68",4,9,5,99,450,82,202,NA,1998,2266
"69",5,99,7,99,376,NA,326,NA,2440,3422
"70",6,7,3,9,409,84,183,82,2989,1215
"71",6,99,3,99,85,NA,376,NA,2665,1408
"72",5,8,4,6,427,50,350,5,2491,1898
